ogd_id,ref_date,ctnuml4a,ct,geometry
337550,2018-06-30,1040,109,0103000020377A0000010000000D00000083C0CAE17D512141CFF753E3B8902041666666267851214175931884B8902041448B6CE75F51214189416065C79020415839B48898522141D9CEF793E2932041273108ECBB522141C3F528DCE1932041D7A3703DCC5221410C022B87E19320411D5A64FBE05221416891EDBCDE93204137894120E15221419A999919DF9320418D976E52E4522141B0726891DE932041B6F3FD14A051214177BE9FDAA5902041E3A59B849C512141560E2D72A890204106819543855121410E2DB25DB990204183C0CAE17D512141CFF753E3B8902041
337551,2018-06-30,1210,717,0103000020377A0000010000000B0000009EEFA7C6F5542141BA490C02008E2041CFF753A32254214148E17A148A8E2041CDCCCC4C345421414A0C02EBA78E20418D976ED24C54214177BE9F1A988E20418D976E9279542141A245B673828E2041508D976E86542141D9CEF7937A8E2041A01A2FDD8C5421418195430B878E2041A01A2F1DAC54214115AE4761BC8E2041C1CAA1C5EB5421413BDF4F8D9E8E20411283C08AEF54214152B81EC56F8E20419EEFA7C6F5542141BA490C02008E2041
337553,2018-06-30,1060,301,0103000020377A0000010000000C0000005A643B9FF24E21414260E51060922041CBA145B6E14E21419A9999196B922041C74B37C9AE4E2141B072681188922041D34D62D09A4E2141A01A2F9D9A9220415A643BDF894E21415C8FC2F5A592204108AC1C9A344F214148E17A5458942041D7A3703D794F21415839B408F893204175931884704F21411F85EBD1E19320410E2DB29D7F4F2141F2D24DA2CC932041F4FDD4F8744F2141C74B3709AE932041643BDF4F034F2141B29DEFA78A9220415A643B9FF24E21414260E51060922041
337554,2018-06-30,1020,116,0103000020377A00000100000005000000B81E85EB525121410E2DB25DCF9020418195438B88522141448B6CE7E29320415839B48898522141D9CEF793E2932041448B6CE75F51214189416065C7902041B81E85EB525121410E2DB25DCF902041
338883,2018-06-30,1010,111,0103000020377A00000100000008000000B6F3FD14A051214177BE9FDAA59020418D976E52E4522141B0726891DE932041BA490C02ED522141EC51B81EDD932041448B6C27435321417B14AE87D19320418B6CE7BBF1512141643BDF4F77902041560E2DB2DB512141AE47E17A7A902041E3A59B44A7512141C976BE9FA0902041B6F3FD14A051214177BE9FDAA5902041
338884,2018-06-30,1210,716,0103000020377A000001000000060000006891EDBC0E4B2141D578E9E6C095204160E5D062EE4A2141F0A7C60B96952041A4703D4A934A2141C74B3749BC952041F0A7C64B714A2141FED47869E595204123DBF97ECE4A2141AE47E13A159620416891EDBC0E4B2141D578E9E6C0952041
338885,2018-06-30,1210,716,0103000020377A0000010000000C0000006891EDBCE5552141A01A2F1DAB9020416DE7FB69FE5521415839B408E4902041A69BC4A02756214123DBF97EC0902041E7FBA9713856214166666666AE9020411F85EB11665621415EBA494C7C90204139B4C836D2562141022B8796FD8F204104560EADCA562141C520B032EC8F2041273108AC975621417B14AE87FD8F2041F0A7C64B33562141D9CEF79313902041560E2D3257562141B4C8763E53902041986E12832B562141C1CAA185739020416891EDBCE5552141A01A2F1DAB902041
338886,2018-06-30,1020,138,0103000020377A00000100000011000000250681D5F35421419CC42070F58E2041250681D500552141DD2406C1138F20413108AC1C19552141D9CEF753488F2041DBF97E2A6F5521418716D90E0A902041DD24064175552141986E12C317902041A245B633C2552141448B6CA702902041713D0A17EA552141DD240641F88F20419EEFA7C614562141DF4F8DD7EA8F2041F853E3A51B56214154E3A51BE98F20419A99999914562141A01A2FDDDB8F2041F4FDD4B8C355214183C0CAE1438F20413F355EBA4B552141B4C876BE5C8E20416DE7FB2909552141986E1203E48D2041A8C64BB70055214183C0CAE1068E204160E5D022FF542141D578E926248E20415A643B9FFD5421417F6ABC34408E2041250681D5F35421419CC42070F58E2041
339325,2018-06-30,1010,155,0103000020377A0000010000002C000000D578E9E68B192141C1CAA1457CB8204193180416BB1921418716D98E93B82041333333F3E119214185EB5138A9B82041CFF75323241A214139B4C8B6CFB820418FC2F528B51A2141DF4F8D17A0B8204100000040361B214104560E2D76B82041AE47E13A5B1B2141B6F3FDD469B82041378941E0B91B21414260E55048B82041A69BC420261C2141DF4F8D1725B820419A999959501C2141A245B63317B82041894160657F1C2141CFF753A307B82041E5D0221BBA1C2141A8C64B37F3B72041F2D24D22281D21419A999919CFB72041643BDF8F601D214123DBF93EBBB72041D34D6290BD1D2141D7A3703D98B720411D5A643B071E21415C8FC2757AB72041B81E85EB5C1E2141022B87965AB720415C8FC275C61E214115AE47E132B72041DF4F8D970E1F21416DE7FBE913B72041AE47E1FA751F2141C1CAA185ECB620411283C0CAB51F2141BE9F1A2FD5B62041068195C3A81F2141FCA9F1128DB62041D34D6210A31F214117D9CE7760B6204148E17AD4A31F2141C520B0F259B62041BE9F1AEFA21F214179E926F14CB62041C520B0729E1F21419A9999192DB62041931804969D1F21417D3F355E29B62041931804D6471F214179E926313FB62041DD2406C1091F214108AC1C9A53B620415839B4C8B11E21413F355E7A71B620411D5A64FBDE1D2141E92631C8C7B620412731086C761D2141EC51B89EF3B62041A69BC420FC1C214121B0726829B720410C022B07861C214191ED7CBF56B72041A69BC420381C2141E5D0221B73B720419EEFA7C6C91B2141E92631C891B72041A8C64BB7641B2141B0726851B3B72041931804560C1B2141D34D6290CEB7204121B07228DC1A2141986E1283DEB72041022B87D6701A21411D5A64BB01B820418B6CE7BB291A21418FC2F5A817B82041DF4F8D17BB192141AC1C5AE436B82041068195431E192141C3F5281C5BB82041D578E9E68B192141C1CAA1457CB82041
339326,2018-06-30,1090,202,0103000020377A0000010000000600000060E5D0A27C3221414A0C02ABB0A72041E3A59B44DA332141E3A59BC404AB2041A8C64B775E34214154E3A5DBE2AA20419EEFA746F13221419A9999D968A720419CC42030A93221413BDF4FCD96A7204160E5D0A27C3221414A0C02ABB0A72041
339327,2018-06-30,1090,202,0103000020377A00000100000007000000759318443C3321414E6210983EAB204133333333D03321415EBA49CCC2AD204106819543503421418716D9CE83AD20412B87165958342141F6285CCF72AD204121B072E8D133214191ED7C3F29AB2041DBF97E6AC9332141DF4F8D971FAB2041759318443C3321414E6210983EAB2041
339328,2018-06-30,1210,633,0103000020377A00000100000005000000CFF753A3F9332141BE9F1AAFA0AB20416891ED3C1B342141F6285C0F33AC2041D122DB79DD3621418FC2F5A86AAB2041E7FBA9B178362141D9CEF753EBAA2041CFF753A3F9332141BE9F1AAFA0AB2041
339329,2018-06-30,1020,138,0103000020377A0000010000000800000077BE9F5AF8312141378941E072AB204106819503C33121418D976E526CAB204139B4C8F69D31214185EB513863AB204152B81EC546312141378941E045AB2041D34D62100C322141CBA14536A1AE2041560E2DF2D4322141F2D24D623EAE2041CFF75323303221419A99999970AB204177BE9F5AF8312141378941E072AB2041
339333,2018-06-30,1020,138,0103000020377A00000100000026000000DD2406C1EC1A214148E17A1428B7204117D9CE37DE1A21415A643B9F2CB720412B871619411A2141759318845BB720412DB29D6F0A1A2141F0A7C6CB6BB72041CDCCCC8C841921418195438B90B720411058393402192141C3F5281CB1B72041B29DEFA79F182141FA7E6A3CC6B7204183C0CAA1ED172141DBF97E2AD8B720416DE7FBA91C18214146B6F3FDF6B72041FCA9F1D2481821414260E5500CB8204121B07228D318214196438B6CF7B72041E3A59B84311921411D5A64FBE5B72041A245B6F38219214106819583D3B72041894160E5F21921411283C00AB4B72041CFF753E3B81A2141FED478E971B72041B29DEF67181B214154E3A5DB58B72041A01A2F9DC01B2141C520B0721FB720413108ACDC4F1C2141C3F5285CF5B62041621058F98E1C2141A8C64BB7DDB620411904560EDD1C21410AD7A370BFB620412731086CA61D214146B6F3FD65B620413F355EBA051E21410C022B0741B6204104560EEDEA1E2141BA490CC2E5B52041643BDFCF161F21416ABC7493D3B52041E17A146E551F214154E3A5DBC1B52041AAF1D20D911F2141448B6C67ADB52041F4FDD4787F1F2141560E2DF26AB52041E17A14AE0B1F2141333333B399B52041BE9F1A6F891E21410AD7A330D0B52041DD2406C12D1E21413108AC5CF2B52041FA7E6A7CAA1D2141B29DEFE727B62041EC51B85E671D21411F85EBD142B62041AAF1D28D071D2141931804D669B62041F853E365901C214183C0CAE196B62041621058B9301C2141F4FDD438BAB620413E0AD7A3BB1B21417B14AEC7E1B620410E2DB25D3A1B21414260E5D00DB72041DD2406C1EC1A214148E17A1428B72041
339335,2018-06-30,1210,634,0103000020377A0000010000000B00000004560E2D19352141190456CEEAA52041C74B374931362141BC7493D818A8204108AC1C5A593621418941602502A820413108AC1CB036214125068115D4A72041B6F3FD54FD3621411F85EBD1B3A720418B6CE7BB18372141EE7C3F75AAA720418FC2F5A82A362141A01A2F9D40A520410C022B8713362141BA490C0251A52041666666A6B73521417F6ABCB498A52041E3A59B848435214160E5D022B5A5204104560E2D19352141190456CEEAA52041
339709,2018-06-30,1210,634,0103000020377A0000010000000900000077BE9F5A432E21416F1283C096B020419EEFA7C6652E2141C1CAA145FCB020411F85EBD1AC342141CDCCCCCCE5AD20412B8716D968342141E17A14EE8FAD204160E5D0A256342141713D0AD78BAD20412B871659893021411F85EB916AAF2041A8C64BB7F82F2141A01A2F1DB2AF204106819583492E21413108AC5C86B0204177BE9F5A432E21416F1283C096B02041
339710,2018-06-30,1020,138,0103000020377A0000010000000A000000713D0AD70E3D21417D3F355E5EAD20417B14AE47FB3C2141DF4F8D97DEAE2041CDCCCC0C013D21416F128340D9AE2041894160A5363D21415A643BDF9BAE2041F853E365463D2141CDCCCC8C66AD204177BE9F1ABA3D2141BE9F1AAF91AB204193180496693E2141FCA9F15243AA2041CFF753E3213E2141D578E9A653AA2041560E2D72853D21415C8FC2B57DAB2041713D0AD70E3D21417D3F355E5EAD2041
339711,2018-06-30,1020,138,0103000020377A0000010000000600000046B6F3BD7A392141CBA145364BAF20419CC420F0A2382141DBF97EAAF9AC2041B07268110638214196438BAC32AD2041F853E3A5A0392141378941E09BB1204191ED7CFF383A2141E7FBA97156B1204146B6F3BD7A392141CBA145364BAF2041
